#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   7.61  0.31  0.99722 -0.196 3.735  4.518 10.65  0.036 0.00 15.911 15.894 16.450 15.813 15.660 15.609 16.249 14.667 14.299 14.243  0.997 
 1   7.63 -0.17  5.13700  2.872 4.229  4.140  8.80  0.027 0.00  6.390  8.049  7.706  8.096  8.397  8.666  7.826  8.279  8.375  8.419  5.137 
 1   7.63  0.01  1.56431  0.780 3.870  4.280 10.75  0.036 0.00 13.569 13.575 13.627 13.542 13.601 13.699 13.552 13.009 12.915 12.894  1.564 
 1   7.63  0.03  0.76292 -0.720 3.667  4.656  8.40  0.025 0.88 14.476 14.678 15.603 14.610 14.291 14.113 15.560 12.980 12.369 12.277  0.763 
 1   7.65 -0.09  1.59859  0.855 3.893  4.307 10.60  0.036 0.00 13.232 13.271 13.257 13.249 13.346 13.465 13.204 12.809 12.753 12.734  1.599 
 1   7.65 -0.05  1.11658  0.093 3.778  4.453  6.95  0.016 0.00 11.488 11.443 11.788 11.381 11.296 11.296 11.618 10.448 10.169 10.134  1.117 
 1   7.65  0.07  2.03062  1.242 3.957  4.279  9.25  0.030 0.79 10.576 10.699 10.586 10.695 10.846 10.988 10.576 10.380 10.357 10.341  2.031 
 1   7.65  0.29  0.88473 -0.456 3.699  4.582  9.75  0.032 0.87 15.195 15.292 16.076 15.211 14.964 14.839 15.949 13.775 13.259 13.180  0.885 
 1   7.67 -0.09  1.49649  0.725 3.869  4.312  9.55  0.031 0.71 12.319 12.324 12.424 12.286 12.314 12.388 12.336 11.656 11.507 11.481  1.496 
 1   7.67  0.13  1.11236  0.046 3.767  4.451 10.50  0.035 0.93 14.577 14.545 14.982 14.474 14.358 14.334 14.790 13.445 13.127 13.082  1.112 
 1   7.67  0.19  0.85245 -0.530 3.689  4.599  8.45  0.025 0.00 14.546 14.628 15.390 14.547 14.308 14.191 15.262 13.137 12.629 12.554  0.852 
 1   7.67  0.41  2.52700  1.602 4.011  4.227  8.60  0.026 0.86  8.886  9.195  8.968  9.214  9.439  9.619  9.015  9.095  9.135  9.131  2.527 
 1   7.69  0.01  0.93854 -0.292 3.729  4.564 10.30  0.035 0.90 15.276 15.303 15.902 15.228 15.043 14.964 15.712 13.979 13.544 13.483  0.939 
 1   7.69  0.17  6.38552  3.387 4.215  3.661 10.00  0.034 0.00  6.302  7.832  7.490  7.879  8.178  8.441  7.616  8.056  8.149  8.193  6.386 
 1   7.69  0.19  0.83093 -0.583 3.681  4.610  7.90  0.021 0.84 13.721 13.878 14.747 13.806 13.513 13.355 14.667 12.247 11.673 11.586  0.831 
 1   7.69  0.33  2.11997  1.294 3.957  4.243 11.35  0.037 0.79 12.533 12.641 12.530 12.635 12.790 12.935 12.520 12.331 12.314 12.298  2.120 
 1   7.71 -0.27  1.52784  0.822 3.901  4.352 10.50  0.035 0.96 12.543 12.598 12.580 12.578 12.674 12.791 12.528 12.135 12.077 12.059  1.528 
 1   7.71 -0.27  1.03916  0.001 3.779  4.517 10.55  0.036 0.00 15.318 15.306 15.646 15.249 15.157 15.150 15.478 14.299 14.014 13.978  1.039 
 1   7.71 -0.01  1.25524  0.346 3.807  4.365 10.40  0.035 0.00 14.304 14.275 14.526 14.221 14.176 14.206 14.386 13.409 13.190 13.161  1.255 
 1   7.71  0.07  1.25180  0.322 3.801  4.363  7.00  0.016 0.00 10.964 10.909 11.178 10.852 10.802 10.830 11.032 10.027  9.802  9.772  1.252 
 1   7.73 -0.13  0.55325 -1.224 3.616  4.813  8.05  0.022 0.76 15.471 15.883 17.125 15.888 15.368 15.053 17.113 13.829 13.193 13.058  0.553 
 1   7.73 -0.07  0.55208 -1.241 3.612  4.814  6.65  0.014 0.00 14.522 14.905 16.118 14.895 14.404 14.111 16.120 12.895 12.239 12.115  0.552 
 1   7.73 -0.05  1.77563  1.039 3.927  4.303 10.10  0.034 0.00 12.272 12.365 12.256 12.361 12.514 12.660 12.239 12.055 12.046 12.029  1.776 
 1   7.73 -0.03  0.94396 -0.275 3.731  4.560 10.05  0.034 0.00 15.508 15.510 16.046 15.438 15.277 15.217 15.845 14.267 13.874 13.820  0.944 
 1   7.73  0.03  2.74362  1.764 4.050  4.257 11.05  0.037 0.00 11.410 12.029 11.760 12.060 12.310 12.507 11.834 12.027 12.084 12.095  2.744 
 1   7.73  0.05  2.38653  1.525 4.009  4.270 14.50  0.038 0.00 15.456 15.866 15.628 15.890 16.121 16.302 15.680 15.788 15.832 15.831  2.387 
 1   7.73  0.07  2.19991  1.385 3.982  4.272 10.45  0.035 0.00 11.759 12.041 11.829 12.059 12.273 12.445 11.864 11.907 11.940 11.933  2.200 
 1   7.73  0.09  1.94306  1.163 3.940  4.271  9.90  0.033 0.00 11.763 11.883 11.742 11.885 12.058 12.212 11.740 11.626 11.632 11.616  1.943 
 1   7.73  0.09  1.40455  0.558 3.829  4.289 10.70  0.036 0.77 13.811 13.781 14.010 13.728 13.696 13.733 13.880 12.944 12.734 12.703  1.405 
 1   7.73  0.21  3.91969  2.372 4.130  4.123  8.80  0.027 0.00  7.639  8.666  8.355  8.704  8.982  9.218  8.460  8.790  8.868  8.898  3.920 
 1   7.75 -0.23  1.16732  0.229 3.807  4.449  9.85  0.033 0.00 14.047 14.037 14.281 13.986 13.936 13.962 14.146 13.162 12.935 12.907  1.167 
 1   7.75 -0.05  3.95272  2.410 4.152  4.180  9.95  0.033 0.00  8.695  9.888  9.575  9.927 10.206 10.448  9.678 10.026 10.107 10.138  3.953 
 1   7.75 -0.01  0.66687 -0.962 3.640  4.729  8.80  0.027 0.96 15.309 15.602 16.668 15.549 15.163 14.939 16.674 13.758 13.098 12.993  0.667 
 1   7.75 -0.01  1.49810  0.703 3.859  4.292 10.65  0.036 0.00 13.663 13.662 13.748 13.625 13.664 13.749 13.663 13.039 12.923 12.901  1.498 
 1   7.75  0.01  1.99753  1.227 3.959  4.292 14.10  0.038 0.00 15.802 15.993 15.818 16.003 16.195 16.357 15.832 15.792 15.811 15.798  1.998 
 1   7.75  0.05  3.07821  1.963 4.079  4.225 10.85  0.036 0.00 10.712 11.484 11.201 11.518 11.778 11.989 11.285 11.528 11.593 11.611  3.078 
 1   7.75  0.33  2.16544  1.334 3.963  4.238 10.95  0.037 0.00 12.385 12.570 12.386 12.580 12.781 12.947 12.407 12.392 12.416 12.405  2.165 
 1   7.77 -0.19  0.99428 -0.114 3.759  4.532 10.65  0.036 0.74 15.472 15.489 15.964 15.423 15.275 15.222 15.786 14.287 13.895 13.841  0.994 
 1   7.77  0.21  1.64010  0.832 3.868  4.237 10.50  0.035 0.00 13.190 13.172 13.237 13.135 13.194 13.292 13.156 12.602 12.510 12.487  1.640 
 1   7.77  0.57  1.46233  0.612 3.832  4.265 11.80  0.038 0.00 15.040 14.973 15.166 14.917 14.918 14.985 15.040 14.241 14.094 14.066  1.462 
 1   7.79 -0.33  2.50734  1.703 4.069  4.356  8.60  0.026 0.72  8.843  9.454  9.200  9.481  9.720  9.915  9.261  9.418  9.468  9.473  2.507 
 1   7.79 -0.03  0.95085 -0.260 3.733  4.556 10.25  0.035 0.00 15.671 15.672 16.201 15.600 15.442 15.384 16.000 14.438 14.050 13.996  0.951 
 1   7.79 -0.01  2.28112  1.462 4.002  4.286 10.05  0.034 0.00 11.165 11.540 11.307 11.563 11.790 11.970 11.355 11.449 11.491 11.488  2.281 
 1   7.79  0.03  1.29111  0.399 3.812  4.343 11.35  0.037 0.99 14.388 14.358 14.599 14.305 14.266 14.300 14.462 13.509 13.300 13.271  1.291 
 1   7.81 -0.05  1.49695  0.714 3.864  4.300  9.40  0.031 0.00 12.384 12.386 12.455 12.352 12.399 12.490 12.375 11.789 11.682 11.661  1.497 
 1   7.81  0.05  2.72948  1.761 4.046  4.242 12.15  0.038 0.71 12.274 12.761 12.527 12.783 13.011 13.193 12.580 12.679 12.718 12.719  2.729 
 1   7.81  0.19  1.03992 -0.107 3.746  4.492 10.15  0.034 0.92 14.624 14.609 15.140 14.532 14.382 14.332 14.940 13.395 13.026 12.972  1.040 
 1   7.83 -0.33  1.33839  0.566 3.858  4.378 11.10  0.037 0.00 14.454 14.484 14.569 14.450 14.482 14.561 14.486 13.846 13.720 13.699  1.338 
 1   7.83 -0.03  0.73260 -0.787 3.662  4.684  8.95  0.028 0.88 15.175 15.398 16.353 15.333 15.001 14.813 16.322 13.668 13.043 12.948  0.733 
 1   7.83  0.03  2.65272  1.716 4.040  4.250  9.65  0.032 0.98  9.428  9.974  9.713 10.003 10.249 10.441  9.781  9.952 10.006 10.013  2.653 
 1   7.83  0.07  0.90514 -0.377 3.715  4.577  9.60  0.032 0.00 15.312 15.337 15.955 15.260 15.072 14.992 15.768 14.002 13.568 13.506  0.905 
 1   7.83  0.13  1.18134  0.184 3.782  4.402 10.25  0.035 0.82 14.225 14.193 14.593 14.126 14.022 14.008 14.415 13.132 12.827 12.783  1.181 
 1   7.83  0.21  1.36497  0.477 3.814  4.300 10.50  0.035 0.77 13.811 13.767 14.054 13.707 13.653 13.677 13.905 12.863 12.630 12.595  1.365 
 1   7.83  0.57  0.65582 -1.024 3.629  4.739  8.45  0.025 0.87 15.266 15.701 16.897 15.719 15.186 14.865 16.885 13.627 12.951 12.835  0.656 
 1   7.85 -0.21  1.83572  1.143 3.961  4.347  8.70  0.026 0.00 10.611 10.813 10.634 10.824 11.016 11.181 10.648 10.617 10.636 10.624  1.836 
 1   7.85 -0.11  2.40447  1.580 4.029  4.301 10.85  0.036 0.00 11.669 12.189 11.936 12.217 12.457 12.646 11.998 12.148 12.198 12.202  2.404 
 1   7.85 -0.07  1.29751  0.435 3.822  4.352  9.20  0.029 0.00 12.884 12.861 13.057 12.812 12.791 12.837 12.937 12.067 11.878 11.852  1.298 
 1   7.85 -0.01  1.12133  0.090 3.776  4.447 11.10  0.037 0.00 15.644 15.614 15.976 15.551 15.459 15.452 15.800 14.597 14.311 14.274  1.121 
 1   7.85  0.09  0.93207 -0.320 3.722  4.561  9.50  0.031 0.00 15.070 15.079 15.666 15.002 14.827 14.757 15.470 13.785 13.372 13.313  0.932 
 1   7.85  0.11  1.53262  0.722 3.853  4.261  9.75  0.032 0.00 12.716 12.695 12.799 12.654 12.686 12.768 12.707 12.053 11.932 11.909  1.533 
 1   7.85  0.23  3.02619  1.926 4.058  4.171 11.10  0.037 0.94 10.433 11.040 10.768 11.071 11.324 11.522 10.847 11.045 11.103 11.115  3.026 
 1   7.85  0.43  3.12141  1.978 4.065  4.162 10.50  0.035 0.97  9.634 10.283 10.002 10.315 10.575 10.782 10.089 10.315 10.379 10.394  3.121 
